City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Port Augusta,AU,-32.5,137.7667,62.74,66,0,13.56,clear sky
79,Tautira,PF,-17.7333,-149.15,82.42,78,100,17.13,light rain
80,Mataura,NZ,-46.1927,168.8643,59.49,72,100,1.05,light rain
81,Georgetown,MY,5.4112,100.3354,80.53,80,20,0.0,few clouds
82,Oistins,BB,13.0667,-59.5333,86.09,51,20,23.02,few clouds
83,Laguna,US,38.421,-121.4238,54.1,75,90,3.0,overcast clouds
84,Ahipara,NZ,-35.1667,173.1667,65.39,72,47,3.04,scattered clouds
85,Kijang,KR,35.2442,129.2139,29.93,42,0,4.85,clear sky
86,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,52,20,4.61,few clouds
87,San Pedro,PH,14.35,121.0167,76.23,74,75,5.75,broken clouds
88,Port Moresby,PG,-9.4431,147.1797,74.62,100,1,4.61,clear sky
89,Cabo San Lucas,MX,22.8909,-109.9124,76.51,74,20,3.0,few clouds
90,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,87,100,14.9,heavy intensity rain
91,Dumas,US,35.8656,-101.9732,52.03,42,1,16.11,clear sky
92,Oskemen,KZ,49.9565,82.6119,12.16,67,53,4.47,broken clouds
93,Tasiilaq,GL,65.6145,-37.6368,23.16,63,100,8.21,overcast clouds
94,Chifeng,CN,42.2683,118.9636,12.99,45,0,5.08,clear sky
95,Matagami,CA,49.7502,-77.6328,-0.29,71,1,4.61,clear sky
96,Grand Gaube,MU,-20.0064,57.6608,79.2,76,38,3.0,scattered clouds
97,Taywarah,AF,33.35,64.4167,28.83,98,89,5.08,light snow
98,Nikolskoye,RU,59.7035,30.7861,21.4,95,100,6.69,overcast clouds
99,Nemuro,JP,43.3236,145.575,18.61,67,12,20.87,few clouds
100,Kolyshley,RU,52.7005,44.5367,11.43,95,100,8.99,light snow
101,Bengkulu,ID,-3.8004,102.2655,75.29,89,100,3.06,overcast clouds
102,Sosenskiy,RU,54.059,35.9623,17.31,95,100,7.2,overcast clouds
103,Marsaxlokk,MT,35.8419,14.5431,58.08,88,75,14.97,broken clouds
104,Ust-Omchug,RU,61.15,149.6333,-25.33,100,67,2.37,broken clouds
105,Srednekolymsk,RU,67.45,153.6833,-28.25,94,10,7.92,clear sky
